"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PGC",-3.57359176147083,4.45547873678712,-8.5789443475701,1.19612040296844e-16,1.11065386230008e-13,26.7199653317651
"CDK2AP2",-1.03256709327331,5.63835882371356,-8.52140323541647,1.84835607692344e-16,1.68988087051275e-13,26.2908109102875
"TMEM59L",-1.89299033979824,1.93536586861643,-8.51232467583545,1.97935202836669e-16,1.78222656045072e-13,26.2232978414889
"HMGB3",-1.33306812928696,5.83181057360744,-8.44341017952087,3.32283568113772e-16,2.86182834815901e-13,25.7125696764511
"CRLF1",-2.53266047653669,3.26301578968063,-8.43791607907072,3.46248948808752e-16,2.93950518297967e-13,25.6719866934878
"CBR1",-1.40110834470203,4.96915559320346,-8.40397620861788,4.46326311615359e-16,3.68386579449527e-13,25.4217251668549
"SYT7",-1.32137336677312,2.96134869657595,-8.28800226708041,1.05677561390196e-15,7.94949422877871e-13,24.5723203041011
"MSMB",-2.56041370449419,2.54004045162933,-8.24703086361767,1.42993513584005e-15,1.02381632912731e-12,24.2743811256442
"AVPI1",-1.05859545414287,4.06423622383854,-8.1933210767673,2.12206203036744e-15,1.46636953812379e-12,23.8855134529127
"KCNE4",-1.27923970165115,2.05052530876607,-8.17947284922399,2.34870181482337e-15,1.60432531895987e-12,23.7855645021525
"FSTL4",-1.19319589756687,1.28398129538598,-8.13950354677518,3.14568585368109e-15,2.10043453063715e-12,23.4978134414655
"SMOC1",-1.57929128056824,1.48045525581862,-8.09268587333693,4.42343005634854e-15,2.85729541259375e-12,23.1621337902346
"AC022733.1",-1.36704819477669,1.14056553241217,-8.07804908352007,4.91940801395888e-15,3.14350172091973e-12,23.0574943142597
"BASP1",-1.30661781601147,4.93301452331647,-8.06794124538338,5.29357851910414e-15,3.34661160271066e-12,22.9853177402162
"GPT2",-1.09274190434601,3.26916094953279,-8.04960733024329,6.04532852354769e-15,3.74224727259238e-12,22.8545792498515
"TFCP2L1",-1.18667501419863,2.75855648245914,-7.85738267817535,2.3997939298571e-14,1.30837205384971e-11,21.4977166989189
