Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PLAT,1.144405376,3.493209861,5.706486958,1.97E-08,1.85E-06,8.167850601
NPW,-1.01191414,1.22007839,-5.70543812,1.98E-08,1.85E-06,8.162233619
AKR1C1,-1.731538894,2.658763364,-5.698872077,2.06E-08,1.90E-06,8.127090191
PKP1,-1.18534263,1.619936501,-5.685106257,2.22E-08,2.02E-06,8.053526802
CYP24A1,-1.476631305,3.047117187,-5.670125386,2.41E-08,2.17E-06,7.97364798
MMP7,1.381647706,4.397943762,5.633568979,2.94E-08,2.57E-06,7.779505724
CACNA2D2,-1.084206422,2.322184401,-5.599425846,3.54E-08,3.01E-06,7.599179163
AOC1,-1.310232587,2.294790621,-5.48181947,6.67E-08,5.27E-06,6.985461692
IL37,1.360468126,1.785504535,5.44851229,7.97E-08,6.10E-06,6.813749451
ATP13A4,1.013025526,2.442121179,5.405672771,9.99E-08,7.33E-06,6.59426135
ORM2,-1.08060199,1.891734867,-5.370000712,1.21E-07,8.69E-06,6.412672379
EREG,1.171906958,1.479833689,5.340025214,1.41E-07,9.93E-06,6.260910476
HLA-DQB2,1.123504605,4.398551161,5.323585047,1.54E-07,1.07E-05,6.177998016
CLDN10,-1.101537695,1.857434285,-5.215422966,2.69E-07,1.72E-05,5.638209322
CRABP2,1.463904585,6.259094021,5.143225857,3.88E-07,2.34E-05,5.283438856
SFTPB,-1.798029142,9.564971134,-5.133560553,4.07E-07,2.44E-05,5.236281895
CT83,-1.264719049,1.894447938,-5.089372003,5.08E-07,2.94E-05,5.021703931
WIF1,-1.243631819,2.085113724,-5.087183493,5.14E-07,2.97E-05,5.011120061
AQP3,-1.169086297,6.720811429,-5.04127925,6.47E-07,3.56E-05,4.790069197
DEFB1,-1.277996693,2.518993817,-4.990751331,8.30E-07,4.45E-05,4.54884724
ORM1,-1.098036361,2.361154023,-4.936298859,1.08E-06,5.55E-05,4.29135348
MUC5AC,-1.181041699,1.14178328,-4.864027919,1.54E-06,7.42E-05,3.95356163
COL17A1,1.025382791,2.139322923,4.790545741,2.19E-06,9.89E-05,3.614759191
SHISA3,1.094052543,1.655427237,4.726191652,2.97E-06,0.000126213,3.321910568
SLC1A7,1.008667066,1.557127242,4.653224427,4.19E-06,0.00016628,2.994252806
AKR1C3,-1.231546906,3.872571371,-4.627971781,4.71E-06,0.00018301,2.881945224
GSTA1,-1.196644997,2.686993099,-4.626704529,4.73E-06,0.000183487,2.87632408
TNNT1,1.083718586,2.510349251,4.622804972,4.82E-06,0.00018606,2.859035699
TSPAN8,-1.227217958,3.622634549,-4.615503019,4.98E-06,0.000190629,2.826699067
IGFBP2,-1.057877299,4.458724804,-4.613591622,5.03E-06,0.000192085,2.818242216
TFF3,-1.508577272,4.382631812,-4.592265303,5.55E-06,0.000207115,2.72410361
MUC13,-1.237704231,2.072357169,-4.476045663,9.42E-06,0.000323244,2.218146549
AREG,1.09782382,4.032700711,4.439051199,1.11E-05,0.000371294,2.059603719
PEG10,1.038105592,3.070423088,4.326242638,1.83E-05,0.000561538,1.583674628
GPX2,-1.587984382,3.42098783,-4.274084817,2.30E-05,0.000671713,1.367468432
VSIG1,1.074810333,2.051438705,4.251225184,2.54E-05,0.000728874,1.273478347
HHLA2,1.011877689,1.5574112,4.196601744,3.20E-05,0.0008688,1.05078813
SPINK1,-1.558119268,4.268650724,-4.194659221,3.23E-05,0.00087308,1.042918209
RPS4Y1,-1.459689781,2.796277954,-3.815540232,0.000152812,0.003007001,-0.427621185
CXCL14,1.094998507,4.295946242,3.523197675,0.000465272,0.007365636,-1.471742992
IGHD,-1.040978379,4.142622514,-3.391210434,0.000750663,0.010656862,-1.917210544
TFPI2,1.015974436,3.866743767,3.273125306,0.001136863,0.014747947,-2.301980194
SCGB3A2,-1.123757742,5.765079515,-2.893109888,0.003980019,0.038154638,-3.451189809
