Mixture,Type,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Monocyte,Natural killer cell,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 2 T helper cell
TCGA.05.4398.01A.01R.1206.07,Wild,0.875846984,0.954919352,1.028115153,1.12572012,1.013072527,0.943781641,0.953055564,0.853699918,0.987250274,0.846317678,0.795109992,1.137268234,1.01813303,0.951357894,0.960913354,1.064389031,0.875577483,0.891604467,0.829300355
TCGA.50.5933.01A.11R.1755.07,Wild,0.848950009,0.98870037,1.040710126,1.145529422,1.083647643,0.969657212,0.986080539,0.835579417,1.000766457,0.859718722,0.879322879,1.131047818,0.991633585,0.975091753,0.959908137,1.113040007,0.903567701,0.897910517,0.867687625
TCGA.55.8087.01A.11R.2241.07,Wild,0.798189473,0.920367599,0.990956307,1.109127388,0.890096998,0.827387479,0.891341651,0.648211199,0.959989507,0.735630249,0.741449334,1.007982152,0.954017491,0.93041944,0.933147482,0.910352823,0.830903667,0.769542791,0.755951795
TCGA.67.6216.01A.11R.1755.07,Wild,0.866850043,0.956197881,1.000142405,1.111861182,0.997162691,0.934487977,0.929437823,0.874508246,1.011171593,0.860645589,0.838793567,1.095902915,1.022968226,0.959034432,0.973508532,1.006214501,0.845743332,0.850246673,0.888935481
TCGA.73.4675.01A.01R.1206.07,Wild,0.821934316,0.914330707,1.064931515,1.109826499,1.008281132,0.852030691,0.918206291,0.721685914,0.968722995,0.818598332,0.78132636,1.0311374,0.980684268,0.924498317,0.960473926,0.963977312,0.798630405,0.827242051,0.815211468
TCGA.64.1676.01A.01R.0946.07,Wild,0.839117539,0.978726551,0.986775097,1.142918937,0.998915396,0.939519759,0.962881838,0.797058713,0.996430813,0.841197135,0.849400534,1.131860289,1.010967074,0.963185237,0.93760203,1.037542685,0.878948489,0.857205158,0.879104907
TCGA.55.6981.01A.11R.1949.07,Wild,0.830348703,0.954359595,0.990178858,1.112357715,1.017314372,0.90590755,0.956580133,0.820964237,1.002566037,0.793613315,0.871297211,1.026661645,0.993191221,0.93100487,0.971570161,0.974351811,0.847960271,0.837053573,0.884310799
TCGA.75.5147.01A.01R.1628.07,Wild,0.855115289,0.983407519,1.030541229,1.111002529,1.023277072,0.896315051,0.93916716,0.83907759,1.024716024,0.851629175,0.851196657,1.108740474,0.975095001,0.960839179,1.006076283,1.015569404,0.848237163,0.889294822,0.889840096
TCGA.L9.A7SV.01A.11R.A39D.07,Wild,0.71563169,0.868535331,1.05594102,1.088953647,0.935099909,0.821635613,0.835851416,0.680074938,0.955071735,0.607492541,0.592615085,0.927899961,0.933324717,0.877714556,0.903586755,0.819152267,0.744850296,0.731927033,0.774334016
TCGA.55.1595.01A.01R.0946.07,Wild,0.785898857,0.902972497,1.028815391,1.117096432,0.972043469,0.923613377,0.914550224,0.799562095,0.982727848,0.763007892,0.801983325,1.035663364,0.942411267,0.962729914,0.915268482,0.964111984,0.843764435,0.834606842,0.889696617
TCGA.62.8402.01A.11R.2326.07,Wild,0.831697019,0.943699842,1.033822368,1.116775657,0.96203272,0.993135407,0.921507772,0.799503049,0.968496995,0.777129722,0.736469857,1.067706793,0.971187846,0.989988168,0.952390277,0.963521421,0.839964261,0.854132408,0.908908046
