Mixture,Type,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.44.3918.01B.02R.A277.07,Wild,0.512324052,0.846026595,0.844795903,0.679265757,0.764858446,0.878318435,1.009747725,0.852580788,0.664421797,0.896139574,0.583359713,0.760844155,0.703884875,0.834643246,0.537203473,0.652389567,0.962586312,0.535555492,0.745123075,0.878015027,0.577951535,0.376996955,0.821255465,0.891914171,0.697463501,0.702125259,0.579689213,0.726324032
TCGA.80.5607.01A.31R.1949.07,Wild,0.77010629,0.974457281,1.050820133,0.845484341,0.966239392,1.023743494,1.128124104,1.00990906,0.838773842,0.953132896,0.725737759,0.944183969,0.795564088,0.992424463,0.818611101,0.900461253,1.073197506,0.714325434,0.985821995,0.961293885,0.759806452,0.642306069,0.936471743,0.989423954,0.826607537,0.845589496,0.723140016,0.914858386
TCGA.55.A57B.01A.12R.A39D.07,Wild,0.644207263,0.840866447,0.971410528,0.841894031,0.921999213,0.994342096,1.137435039,1.009132886,0.768174743,0.93184474,0.661040168,0.914354491,0.685931391,1.007836399,0.779676306,0.81097542,1.056718131,0.694063756,0.995464406,0.976805162,0.720338643,0.626619809,0.949562592,0.960226258,0.847169993,0.825553237,0.711226328,0.836340736
TCGA.38.6178.01A.11R.1755.07,Wild,0.77796287,0.868868039,0.94166994,0.812462656,0.969828879,0.99622797,1.126265079,1.009161733,0.821996074,0.897470533,0.647001833,0.946019736,0.804778168,0.99256648,0.784009016,0.842182387,1.031130601,0.711610585,0.973951468,0.975484435,0.751049243,0.620598339,0.972963048,0.961566988,0.843378681,0.852876382,0.696815366,0.873874026
TCGA.55.6986.01A.11R.1949.07,Wild,0.819173829,0.842818208,0.995548222,0.825626761,0.943237223,0.973517568,1.111249881,0.981636101,0.810629134,0.895509903,0.652491093,0.951531259,0.810227665,1.013394971,0.828265026,0.826511928,1.053330883,0.71383764,1.00724842,0.95543748,0.720972321,0.565309984,0.951566148,0.967149839,0.849283338,0.845403406,0.707528493,0.885631531
TCGA.55.7903.01A.11R.2170.07,Wild,0.657838923,0.901903357,1.049393971,0.795873905,0.957515105,1.010986306,1.124459931,0.984679832,0.799970715,0.95264784,0.573727534,0.906355482,0.755319511,0.991881274,0.768248422,0.839236742,1.056386677,0.676901798,0.955702678,0.935816488,0.758254938,0.514728363,0.93423239,0.95518971,0.824330922,0.817089975,0.674563267,0.875743915
TCGA.55.A493.01A.11R.A24H.07,Wild,0.844452163,1.003604576,1.076525397,0.801490476,0.948780954,1.031984012,1.128747417,1.028977546,0.8236318,0.984276802,0.59830985,0.951468708,0.880304573,0.954917083,0.808160598,0.755997987,1.146335427,0.767957914,0.988071086,0.963795264,0.824626029,0.537156985,0.956962628,1.085539136,0.883557086,0.880569135,0.683075722,0.846804757
TCGA.91.6828.01A.11R.1858.07,Wild,0.77917109,0.955227328,1.045517713,0.857537085,0.96358267,1.078595956,1.129207928,1.033427092,0.876290818,0.928972992,0.675771339,0.947888115,0.855780007,1.004744865,0.836165608,0.893939804,1.125351911,0.788413308,0.999304795,0.996702479,0.820123909,0.743043066,0.98712069,1.056445697,0.887256286,0.859479137,0.791571932,0.922154567
TCGA.55.A48X.01A.11R.A24H.07,Wild,0.99048742,0.90088996,1.057869707,0.808220393,0.948597855,1.000488088,1.131559716,0.973289538,0.80770577,0.926950827,0.652761419,0.938739097,0.983542445,1.010463762,0.802399034,0.834848341,1.087899105,0.73298497,0.979524278,0.965123441,0.736649533,0.621014491,0.948814772,0.982479801,0.865510373,0.872610099,0.707762251,0.852197449
TCGA.44.3917.01A.01R.A278.07,Wild,0.697444838,0.959691318,1.007336057,0.719735355,0.838918848,0.974602938,1.049056901,0.905170834,0.716560726,0.864742895,0.611739536,0.883883066,0.770500374,0.947030046,0.711806844,0.691239379,1.006976341,0.754563288,0.90919969,0.920064687,0.639822969,0.46178349,0.840963223,0.940623279,0.766825311,0.793489556,0.673438134,0.863242614
